"address","borough","zipcode","lon","lat","risk1"
"10 WEST 107 STREET","MN",10025,-73.9605,40.7989,0
"10 WEST 119 STREET","MN",10026,-73.9458,40.8027,0
"10 WEST 135 STREET","MN",10037,-73.9388,40.8126,0
"10 WEST 182 STREET","BX",10453,-73.9053,40.857,0
"10 WEST 65 STREET","MN",10023,-73.9803,40.772,0
"10 WEST 75 STREET","MN",10023,-73.9755,40.7783,0
"10 WEST 76 STREET","MN",10023,-73.975,40.7789,0
"10 WEST 87 STREET","MN",10024,-73.9696,40.7861,0
"10 WEST 90 STREET","MN",10024,-73.9684,40.788,0
"10 WESTMINSTER ROAD","BK",11218,-73.969,40.6489,0
"10-01 162 STREET","QN",11357,-73.7992,40.7924,0
"10-03 WYCKOFF AVENUE","QN",11385,NA,NA,0
"10-05 34 AVENUE","QN",11106,-73.9382,40.765,0
"10-06 NEILSON STREET","QN",11691,-73.7474,40.6036,0
"10-09 34 AVENUE","QN",11106,-73.9381,40.765,0
"10-10 166 STREET","QN",11357,-73.7985,40.792,0
"10-11 162 STREET","QN",11357,-73.7995,40.7921,0
"10-11 34 AVENUE","QN",11106,-73.938,40.765,0
"10-11 50 AVENUE","QN",11101,-73.9534,40.7428,0
"10-11 NEILSON STREET","QN",11691,-73.7481,40.6033,0
"10-12 37 AVENUE","QN",11101,-73.9414,40.7597,1
"10-12 47 AVENUE","QN",11101,-73.9527,40.7452,0
"10-12 NAMEOKE STREET","QN",11691,-73.7486,40.6033,0
"10-14 37 AVENUE","QN",11101,-73.9413,40.7597,0
"10-15 36 AVENUE","QN",11106,-73.9401,40.7614,0
"10-15 WYCKOFF AVENUE","QN",11385,NA,NA,0
"10-17 47 AVENUE","QN",11101,-73.9523,40.7455,0
"10-17 WYCKOFF AVENUE","QN",11385,NA,NA,0
"10-21 162 STREET","QN",11357,-73.7992,40.7918,0
"10-22 47 ROAD","QN",11101,-73.9525,40.7444,0
"10-24 166 STREET","QN",11357,-73.7983,40.7916,0
"10-25 47 ROAD","QN",11101,-73.9523,40.7448,1
"10-26 47 ROAD","QN",11101,-73.9523,40.7444,0
"10-28 JACKSON AVENUE","QN",11101,-73.9532,40.742,0
"10-30 NEILSON STREET","QN",11691,-73.7475,40.604,0
"10-32 49 AVENUE","QN",11101,-73.9528,40.743,0
"10-33 115 STREET","QN",11356,-73.8522,40.7877,0
"10-35 115 STREET","QN",11356,-73.8522,40.7876,0
"10-36 NEILSON STREET","QN",11691,-73.7476,40.6043,0
"10-37 48 AVENUE","QN",11101,-73.9522,40.744,0
"10-37 BEACH 9 STREET","QN",11691,NA,NA,0
"10-38 47 ROAD","QN",11101,-73.952,40.7443,0
"10-39 115 STREET","QN",11356,-73.8521,40.7875,1
"10-39 48 AVENUE","QN",11101,-73.9521,40.744,0
"10-41 115 STREET","QN",11356,-73.8521,40.7875,0
"10-41 48 AVENUE","QN",11101,-73.952,40.744,0
"10-43 47 AVENUE","QN",11101,-73.9515,40.7454,0
"10-44 WYCKOFF AVENUE","QN",11385,NA,NA,0
"10-45 115 STREET","QN",11356,-73.8521,40.7874,0
"10-47 115 STREET","QN",11356,-73.8521,40.7873,0
"10-47 47 AVENUE","QN",11101,-73.9514,40.7454,0
"10-49 115 STREET","QN",11356,-73.8521,40.7873,0
"10-49 48 AVENUE","QN",11101,-73.9517,40.744,0
"10-50 44 DRIVE","QN",11101,-73.9499,40.7483,1
"10-51 49 AVENUE","QN",11101,-73.9518,40.7433,0
"10-53 115 STREET","QN",11356,-73.8521,40.7872,0
"10-55 115 STREET","QN",11356,-73.8521,40.7871,1
"10-56 NEILSON STREET","QN",11691,-73.7478,40.6047,0
"10-57 115 STREET","QN",11356,-73.8521,40.787,0
"10-61 115 STREET","QN",11356,-73.8521,40.787,0
"100 1 AVENUE","MN",10009,-73.9859,40.7264,0
"100 2 AVENUE","MN",10003,-73.9883,40.7271,0
"100 7 AVENUE","MN",10011,-73.9989,40.7402,0
"100 ADELPHI STREET","BK",11205,-73.9724,40.6946,0
"100 AUDUBON AVENUE","MN",10032,-73.9376,40.842,0
"100 AVENUE P","BK",11204,-73.9848,40.6072,0
"100 BAY RIDGE AVENUE","BK",11220,-74.0323,40.6374,0
"100 BEDFORD AVENUE","BK",11249,-73.9552,40.7205,0
"100 BENNETT AVENUE","MN",10033,-73.9356,40.8534,0
"100 CABRINI BOULEVARD","MN",10033,-73.9405,40.8516,0
"100 CENTRAL PARK SOUTH","MN",10019,-73.9767,40.7655,0
"100 CHARLTON STREET","MN",10014,-74.008,40.7272,0
"100 CHRISTOPHER STREET","MN",10014,-74.0048,40.7331,0
"100 CLAY STREET","BK",11222,-73.9542,40.7365,0
"100 COLFAX AVENUE","SI",10306,-74.1078,40.5797,0
"100 CONVENT AVENUE","MN",10027,-73.953,40.8167,0
"100 DANIEL LOW TERRACE","SI",10301,-74.0803,40.6426,0
"100 DIAMOND STREET","BK",11222,-73.9469,40.7262,0
"100 EAGLE STREET","BK",11222,-73.9569,40.7348,0
"100 EAST 123 STREET","MN",10035,-73.9399,40.8035,0
"100 EAST 18 STREET","BK",11226,-73.9632,40.6487,0
"100 EAST 182 STREET","BX",10453,-73.9027,40.8565,0
"100 EAST 21 STREET","BK",11226,-73.9605,40.6516,0
"100 EAST 7 STREET","MN",10009,-73.9852,40.7265,0
"100 EAST 92 STREET","BK",11212,-73.9283,40.6622,0
"100 EAST MOSHOLU PARKWAY","BX",10458,-73.884,40.8765,0
"100 ECKFORD STREET","BK",11222,-73.9481,40.7232,0
"100 FORSYTH STREET","MN",10002,-73.9926,40.7182,1
"100 FRANKLIN AVENUE","BK",11205,-73.9586,40.696,0
"100 FT WASHINGTON AVENUE","MN",10032,-73.9433,40.8386,0
"100 GREENPOINT AVENUE","BK",11222,-73.9569,40.7297,0
"100 HART STREET","BK",11206,-73.9476,40.6931,0
"100 HURON STREET","BK",11222,-73.9575,40.7325,0
"100 INDIA STREET","BK",11222,-73.9563,40.7319,1
"100 JACKSON STREET","BK",11211,-73.9474,40.7162,0
"100 KENT STREET","BK",11222,-73.957,40.7304,0
"100 LEFFERTS AVENUE","BK",11225,-73.9579,40.6617,0
"100 LENOX AVENUE","MN",10026,-73.9497,40.8013,0
"100 LEXINGTON AVENUE","MN",10016,-73.9831,40.7422,0
"100 LINDEN BOULEVARD","BK",11226,-73.9551,40.652,0
"100 LINDEN STREET","BK",11221,-73.9196,40.6928,0
"100 LUQUER STREET","BK",11231,-74.0015,40.6776,0
"100 MACON STREET","BK",11216,-73.947,40.6811,0
